id,pred_label,probs
10,org:top_members/employees,"[0.04196662, 7.8002166e-05, 0.9510837, 4.8484268e-05, 2.5500509e-05, 5.690907e-05, 0.0002255019, 6.508536e-05, 9.519185e-05, 9.170772e-05, 2.7805727e-06, 6.950152e-05, 0.0004280203, 0.000102015656, 0.004277375, 3.9650844e-05, 0.00018866509, 1.0616637e-05, 1.0276503e-05, 6.8339646e-06, 1.0585438e-05, 0.00090948766, 7.705956e-06, 2.8391063e-05, 6.5575596e-06, 3.5230492e-05, 3.272254e-05, 6.551724e-05, 1.3218152e-05, 1.8049695e-05]"
11,org:founded,"[0.0030381733, 0.00016097423, 2.3591478e-05, 6.7977315e-05, 2.7176111e-05, 4.819992e-05, 4.0805025e-06, 1.5110184e-05, 4.0460403e-05, 8.739297e-05, 4.629205e-05, 9.9364515e-06, 3.7782054e-06, 3.7018348e-05, 4.9163235e-05, 3.942417e-05, 1.1121783e-05, 0.9170636, 6.8765694e-05, 6.261083e-06, 0.078580275, 3.2748492e-05, 2.1895175e-05, 0.000328838, 1.8709565e-05, 2.0481331e-05, 1.972206e-05, 1.6613612e-05, 3.6466437e-05, 7.57564e-05]"
12,no_relation,"[0.9980628, 0.00015411548, 6.539795e-05, 0.0005239933, 1.3350186e-05, 4.6664012e-05, 2.6976015e-05, 5.8102687e-06, 1.6571235e-05, 0.00044858202, 2.1209995e-05, 4.659737e-06, 2.0208803e-05, 1.4463613e-05, 2.4864199e-05, 1.6553922e-05, 6.549988e-05, 1.8384098e-05, 4.113918e-06, 1.9351971e-06, 7.336461e-06, 6.0780226e-06, 2.0322754e-05, 1.2406794e-05, 4.7418553e-06, 1.3305193e-05, 8.9773275e-05, 7.147987e-06, 0.00027199634, 1.06102225e-05]"
13,no_relation,"[0.999879, 6.9159028e-06, 4.71201e-06, 9.693204e-06, 1.2926153e-05, 2.6032617e-06, 5.687559e-06, 3.1488323e-06, 2.7140077e-06, 7.831477e-06, 1.7244078e-06, 5.423568e-06, 2.6465807e-06, 7.276352e-06, 1.2497628e-06, 3.2235525e-07, 2.5428506e-06, 7.821333e-06, 6.004215e-07, 4.103882e-07, 1.6406779e-06, 3.1855277e-06, 3.3641418e-06, 9.531003e-06, 1.240238e-06, 3.4732325e-06, 7.052337e-07, 3.260946e-06, 6.5176914e-06, 1.985141e-06]"
14,per:place_of_death,"[0.0005076694, 2.0218235e-05, 1.4121939e-05, 5.78498e-06, 6.563449e-06, 1.8061031e-05, 0.0001812217, 0.0065613813, 3.2911616e-05, 4.3014217e-05, 0.0004233525, 2.8185317e-05, 1.2883188e-05, 5.990019e-05, 0.0001068252, 6.376123e-05, 1.2981744e-05, 1.6124503e-05, 2.1269023e-05, 0.0032099867, 4.58493e-05, 0.00035720773, 3.178076e-05, 6.973066e-05, 0.0002066806, 0.00013124007, 8.7126045e-06, 3.7380203e-05, 1.1070715e-05, 0.98775405]"
15,per:colleagues,"[0.006927354, 2.8647015e-05, 0.0024489753, 9.531095e-06, 1.2499853e-05, 6.97549e-05, 2.266308e-05, 1.7764314e-05, 9.05748e-05, 2.3844845e-05, 2.482139e-06, 0.98902506, 0.00019788377, 0.0003637566, 3.6769783e-05, 6.1620713e-06, 5.8522677e-05, 2.5614936e-05, 3.4673221e-06, 4.798989e-06, 8.857124e-06, 0.00010628848, 8.2871975e-06, 1.6071006e-05, 1.7147973e-05, 0.00035467814, 2.4276496e-05, 4.9134476e-05, 2.4290692e-05, 1.469048e-05]"
16,per:alternate_names,"[1.4607851e-06, 1.6110972e-06, 9.821981e-05, 1.3802088e-05, 4.8994634e-06, 1.9061117e-06, 1.3982599e-05, 5.3916824e-06, 3.226721e-05, 1.0665888e-06, 2.8871088e-07, 1.0662832e-05, 0.9997485, 7.4798077e-06, 7.317577e-06, 2.3345217e-06, 6.7996502e-06, 5.4366467e-07, 2.15769e-06, 6.817194e-06, 5.149587e-07, 3.6092838e-06, 2.486017e-06, 2.575189e-06, 5.514855e-06, 1.6653314e-06, 2.693129e-06, 6.5445874e-06, 4.2876673e-06, 2.6838884e-06]"
17,per:date_of_death,"[0.003094686, 7.646178e-06, 9.721855e-06, 6.2676895e-06, 0.0013310905, 2.2000254e-06, 6.3693124e-06, 2.2798795e-05, 2.9063873e-05, 2.7856624e-05, 9.885929e-06, 1.112923e-05, 1.0699386e-05, 7.806323e-06, 2.5827974e-06, 4.0036507e-06, 1.0882023e-05, 1.5147463e-05, 1.12468415e-05, 4.2271736e-06, 0.0002683923, 2.959254e-05, 4.646309e-06, 0.99494475, 2.8393301e-06, 4.2367123e-05, 8.171561e-06, 1.8310786e-05, 2.4295126e-05, 3.1351334e-05]"
18,no_relation,"[0.8737626, 0.00024517294, 0.00027539022, 0.0001612573, 4.059074e-05, 0.025246078, 0.00023578812, 0.05359376, 3.9554827e-05, 0.0003285593, 0.0002079593, 0.0001301587, 0.00011608494, 0.00019261285, 0.00011582154, 5.821041e-05, 0.00052859384, 8.242369e-05, 7.059445e-05, 0.0013757263, 0.00029050047, 0.00019266814, 0.00018824825, 0.00014158213, 0.028002825, 0.000744103, 4.548545e-05, 0.00027529828, 0.00011461516, 0.013197619]"
19,org:product,"[0.0039311023, 9.7488664e-05, 1.840771e-05, 5.5677516e-05, 7.4144214e-06, 1.45009035e-05, 2.2144611e-06, 1.5830975e-06, 6.22857e-06, 0.0001935005, 3.6252982e-06, 2.7283002e-06, 3.1807144e-06, 2.650757e-06, 1.3991834e-05, 1.310701e-05, 3.784856e-05, 1.1572202e-05, 1.317656e-06, 5.2885944e-06, 2.707786e-06, 3.0615392e-06, 1.6617703e-06, 5.6254553e-06, 1.2846615e-06, 4.1719845e-06, 0.99549794, 4.3051277e-06, 5.4732252e-05, 1.0021475e-06]"
20,no_relation,"[0.9645708, 3.2005126e-05, 0.0030004454, 2.0691356e-05, 8.681066e-05, 6.959784e-05, 1.2944776e-05, 7.272065e-05, 2.5474625e-05, 0.0002805657, 8.181986e-06, 0.00046080266, 0.00037555283, 0.011634639, 0.002011647, 4.5112047e-05, 0.0038828019, 5.975252e-05, 2.5520389e-05, 3.4542325e-05, 2.0265486e-05, 0.010200633, 3.831879e-05, 5.588089e-05, 1.5689015e-05, 0.0021907995, 3.1709733e-05, 0.00063217327, 1.900153e-05, 8.482598e-05]"
21,org:top_members/employees,"[8.286057e-06, 2.099045e-06, 0.9998827, 2.4869078e-06, 1.2291002e-06, 2.5990914e-06, 2.3396575e-05, 1.3572931e-06, 1.1732549e-05, 4.9672435e-06, 1.7866775e-07, 4.9110495e-06, 9.161452e-06, 1.5395362e-06, 2.5126415e-05, 2.679195e-06, 9.816855e-07, 7.600128e-07, 7.085903e-07, 2.1174063e-07, 1.302015e-06, 3.095308e-06, 4.05213e-07, 9.938705e-07, 8.854237e-07, 4.0034283e-07, 2.228561e-06, 9.196332e-07, 1.957574e-06, 7.2994777e-07]"
22,org:members,"[0.022712013, 0.11130574, 0.2367278, 0.11685324, 0.00020520431, 0.0117590455, 0.0001640463, 8.152653e-05, 0.008491573, 0.40449733, 0.0032631145, 9.759245e-05, 0.000190563, 0.0003712384, 0.021836169, 0.0027859546, 0.0015937054, 0.0072244494, 0.0056548286, 7.971228e-05, 0.004076986, 0.00048324943, 0.00022027745, 0.00048099807, 0.000109619235, 0.00044769733, 0.034258164, 0.0014862493, 0.0019692054, 0.00057259644]"
23,per:employee_of,"[8.2535036e-05, 0.00074272795, 1.2642947e-05, 7.455129e-06, 3.298132e-06, 3.3862607e-06, 0.99864846, 9.95146e-05, 0.00024024666, 2.7063088e-05, 1.6874852e-05, 3.7995036e-05, 7.764944e-06, 1.1971951e-05, 2.045694e-06, 2.8649554e-06, 3.0308597e-06, 2.2784197e-06, 1.248864e-06, 2.6125874e-06, 6.4457106e-07, 6.7710585e-06, 9.2336395e-06, 1.4392018e-06, 8.138282e-06, 3.5988128e-06, 3.4157954e-06, 5.02591e-06, 4.3468876e-06, 1.3624284e-06]"
24,org:member_of,"[0.00060784316, 0.9992519, 1.0568177e-05, 2.143703e-05, 7.056764e-07, 2.435018e-05, 2.3334176e-06, 1.3798856e-06, 8.278201e-06, 3.0958858e-05, 2.9148673e-06, 1.4942349e-06, 6.190192e-07, 3.0301962e-06, 2.5515913e-06, 2.0710625e-06, 1.0200229e-06, 3.3385354e-06, 8.20542e-07, 3.5013866e-07, 1.5042104e-06, 4.8220695e-06, 3.188426e-07, 1.6534389e-06, 4.583629e-07, 1.5878054e-06, 8.457041e-06, 1.0027954e-06, 1.7606541e-06, 4.8674434e-07]"
25,no_relation,"[0.5938918, 0.0012871473, 8.793933e-05, 0.0005595087, 1.813352e-05, 0.40007514, 1.0933361e-05, 8.049444e-05, 6.4316528e-06, 0.0017219345, 8.85135e-05, 2.5982921e-05, 1.40770035e-05, 7.950576e-05, 0.00015470867, 3.794674e-05, 0.00015612307, 0.0001644591, 1.7457456e-05, 6.627591e-05, 0.00015709177, 5.9804017e-05, 2.4243749e-05, 2.6502566e-05, 0.00018591598, 0.00032772444, 5.3767413e-05, 8.754805e-05, 4.7891055e-05, 0.00048508125]"
26,no_relation,"[0.82358325, 0.0029530742, 0.0058431546, 0.0035848985, 0.00013314903, 0.00015485926, 0.000115519935, 8.4082465e-05, 0.14027077, 0.011068179, 0.00011565342, 8.351625e-05, 0.00036352806, 0.0031449946, 0.0012134773, 0.0009736743, 0.0004194472, 0.0001707471, 0.00014561173, 1.3808998e-05, 0.00037132707, 0.0011887199, 0.00032931985, 0.000577481, 1.4736771e-05, 0.0006704265, 0.0016305181, 0.00021252882, 0.0002932429, 0.00027636165]"
27,no_relation,"[0.99438345, 0.00012965183, 3.696339e-05, 0.00014099732, 3.980531e-06, 0.00464535, 6.9974644e-06, 2.086811e-05, 3.7479883e-06, 0.00024542664, 1.8261891e-05, 7.0603683e-06, 4.3329533e-06, 2.387169e-05, 3.1168805e-05, 5.447927e-06, 2.2262597e-05, 2.5031037e-05, 2.6979715e-06, 5.416202e-06, 2.5378607e-05, 8.320337e-06, 6.93128e-06, 6.016605e-06, 3.4467732e-05, 2.7105998e-05, 9.195205e-06, 8.644787e-06, 2.0304416e-05, 9.0581954e-05]"
28,no_relation,"[0.99116826, 9.1162074e-05, 9.092153e-06, 0.00013587087, 4.686155e-05, 2.4349341e-05, 0.007481227, 3.135535e-05, 1.8025843e-05, 0.00031102725, 0.00011547818, 1.3813279e-05, 9.102772e-06, 3.9986557e-05, 8.541067e-06, 1.1137284e-05, 4.09231e-05, 3.1111787e-05, 2.3053678e-06, 3.8249195e-06, 8.432057e-06, 5.7656935e-06, 3.9946113e-05, 2.0019063e-05, 2.7926722e-05, 1.0223538e-05, 2.5656715e-05, 3.8569597e-06, 0.0002512607, 1.3395593e-05]"
29,no_relation,"[0.9998665, 1.3223566e-05, 5.6084878e-06, 1.1396959e-05, 2.0444209e-06, 4.281811e-06, 4.415797e-06, 1.4224998e-06, 3.8227163e-06, 1.8210134e-05, 1.735885e-06, 1.1458404e-05, 1.641097e-06, 8.10348e-06, 2.7937706e-06, 2.8893612e-07, 4.1016533e-06, 4.0537634e-06, 3.3589396e-07, 3.157024e-07, 1.1132008e-06, 3.4108482e-06, 2.4380906e-06, 2.2160252e-06, 1.0385934e-06, 5.30889e-06, 1.0750729e-06, 5.0953195e-06, 1.0271962e-05, 2.3466573e-06]"
30,no_relation,"[0.9979424, 3.8684186e-05, 8.582633e-05, 6.783292e-05, 1.3153787e-05, 0.0010457821, 1.1156956e-06, 4.156011e-06, 1.9012315e-06, 0.0002872957, 1.2350196e-05, 1.6873119e-05, 7.842046e-06, 2.295252e-05, 3.7935635e-05, 4.284549e-06, 9.839231e-05, 6.827061e-05, 8.213505e-06, 5.0162776e-06, 2.0720492e-05, 1.6694108e-05, 5.214437e-06, 6.5492445e-06, 1.993039e-05, 4.7687434e-05, 1.39944705e-05, 2.8003322e-05, 2.5763913e-05, 4.5119898e-05]"
31,no_relation,"[0.9974485, 0.0003466697, 6.753696e-05, 0.00010205969, 5.596494e-06, 0.0011200858, 1.6912782e-05, 5.8901056e-05, 4.761656e-06, 0.00011219342, 2.0845775e-05, 3.618615e-05, 4.8423453e-06, 6.8952795e-05, 4.000956e-05, 7.711592e-06, 7.348344e-05, 2.104613e-05, 5.262069e-06, 5.484978e-06, 2.8005883e-05, 3.855248e-05, 6.9765892e-06, 1.09686525e-05, 2.7660686e-05, 0.0002144307, 6.3014954e-06, 2.4513793e-05, 7.6022357e-06, 6.78667e-05]"
32,no_relation,"[0.99948823, 9.385861e-06, 1.4050612e-05, 1.0349024e-05, 1.7435363e-05, 3.316169e-05, 7.308225e-06, 6.3613305e-05, 3.173744e-06, 1.9676454e-05, 1.7107268e-05, 1.2778948e-05, 1.1865496e-05, 2.0512674e-05, 1.5663352e-05, 1.4382899e-06, 3.2332977e-05, 7.222916e-06, 1.8219337e-06, 9.729066e-06, 4.1089834e-06, 1.4971654e-05, 1.0280745e-05, 1.9423787e-05, 2.6661137e-05, 2.7731474e-05, 2.884075e-06, 1.0762893e-05, 3.0157484e-05, 5.6188353e-05]"
33,no_relation,"[0.9398548, 0.0002642439, 0.0009991543, 0.00059722114, 1.3236472e-05, 0.00033253632, 3.1090458e-05, 9.839691e-06, 4.039906e-05, 0.0571123, 5.456537e-06, 1.2827504e-05, 1.0489041e-05, 5.247653e-05, 0.00014901857, 4.117913e-05, 0.00017976151, 2.6600024e-05, 1.5690093e-05, 3.5997712e-06, 1.3115804e-05, 3.616158e-05, 1.35426535e-05, 9.458264e-06, 7.3072947e-06, 5.944663e-05, 2.1988355e-05, 3.550255e-05, 1.3012495e-05, 3.8594884e-05]"
34,org:top_members/employees,"[0.27322683, 0.0068953577, 0.6491058, 0.0025007604, 0.00022252067, 0.00065271667, 0.000122065816, 0.000196261, 0.023212403, 0.015190665, 6.399553e-05, 0.0003775252, 0.002082898, 0.0014741383, 0.0028118505, 0.0010801044, 0.0019836777, 0.00014857002, 0.00027418853, 4.7571455e-05, 0.00038904804, 0.0028806573, 4.80856e-05, 0.00093659095, 7.169579e-05, 0.0015172088, 0.011487496, 0.00035521516, 0.00027108047, 0.00037311466]"
35,per:title,"[0.05980422, 5.503903e-05, 5.759153e-05, 6.396835e-05, 2.0566134e-05, 1.8547114e-05, 2.3285576e-05, 3.781165e-05, 0.93879646, 0.0003229939, 1.767907e-05, 5.811711e-05, 4.592609e-05, 0.0001340813, 1.7733259e-05, 1.2429447e-05, 2.2452412e-05, 3.3716344e-05, 1.2001635e-05, 2.7823335e-06, 3.8779013e-05, 4.6160527e-05, 4.2662938e-05, 3.9572038e-05, 1.3469475e-05, 7.332308e-05, 5.0962142e-05, 1.6255935e-05, 0.000111272595, 1.0181819e-05]"
36,no_relation,"[0.9991763, 1.5970894e-05, 1.06464495e-05, 9.4778814e-05, 1.2171702e-05, 8.6902655e-06, 0.00025197456, 2.025131e-05, 1.2112404e-05, 7.224957e-05, 1.1611053e-05, 8.685063e-06, 6.0293074e-05, 2.974491e-05, 6.7448796e-06, 2.716874e-06, 5.709087e-05, 4.9933274e-06, 1.0103537e-06, 3.3865322e-06, 4.2015486e-06, 1.1783905e-05, 7.005076e-06, 1.7908023e-05, 4.694319e-06, 1.8122557e-05, 5.43586e-06, 1.928921e-05, 3.5583773e-05, 1.4548032e-05]"
37,org:product,"[0.009400556, 0.012616795, 0.00085747935, 0.03183435, 4.2222535e-05, 0.0003438508, 7.5984906e-05, 1.3030105e-05, 0.00022966473, 0.21113919, 7.5945645e-05, 1.516474e-05, 3.5688412e-05, 3.6816862e-05, 0.0004248721, 0.0006305035, 0.0011281522, 0.0004733394, 0.00010943892, 2.6222293e-05, 0.00018609161, 9.289839e-05, 3.213221e-05, 0.00013836859, 1.3153773e-05, 0.00020324922, 0.7285771, 0.0001694847, 0.0010473515, 3.0932053e-05]"
38,no_relation,"[0.99849963, 1.1799927e-05, 0.00010544859, 2.5824756e-05, 6.5910713e-06, 9.77807e-06, 1.9399837e-05, 1.5924836e-05, 1.9778954e-05, 4.5775803e-05, 4.3465966e-06, 0.00029408862, 3.4141252e-05, 5.6519642e-05, 5.4515494e-05, 2.8665538e-06, 8.341527e-05, 7.200339e-06, 3.4045615e-06, 1.6299473e-06, 6.225832e-06, 0.00011564089, 6.7406977e-06, 1.923826e-05, 2.4403344e-06, 0.00034385984, 2.4960498e-06, 0.00016084495, 2.1170099e-05, 1.9260526e-05]"
39,org:top_members/employees,"[0.0022759812, 0.00038323726, 0.9932516, 0.00081381673, 2.7411781e-05, 0.0001257229, 7.083628e-06, 9.301464e-06, 0.00016694142, 0.00047968733, 3.0236913e-06, 2.3657647e-05, 0.000107245236, 2.2246528e-05, 0.0012751005, 0.0003684817, 3.3867498e-05, 4.213765e-05, 3.113095e-05, 4.042378e-06, 3.9223643e-05, 8.77807e-05, 3.0844724e-06, 1.8599585e-05, 3.875261e-06, 6.0529997e-06, 0.0003212689, 9.233173e-06, 4.3601598e-05, 1.548426e-05]"
40,no_relation,"[0.86710054, 0.015449403, 0.008227029, 0.023133922, 0.00017354856, 0.0025477542, 1.9644325e-05, 3.89546e-05, 0.052378163, 0.018894866, 0.00023233687, 0.00014747624, 0.0002426994, 0.0004695684, 0.0015731534, 0.0015674724, 0.0008636446, 0.0014679823, 0.00047967947, 3.124942e-05, 0.0006475624, 0.0014888694, 0.00018648985, 0.00032299364, 4.595317e-05, 0.00035812793, 0.0012435189, 0.00023763979, 0.0001806479, 0.0002491275]"
41,no_relation,"[0.94957274, 0.013903013, 0.0014926677, 0.0062485384, 6.911016e-05, 0.00015838206, 3.7122376e-05, 2.2507205e-05, 0.018089404, 0.005643585, 0.00012739384, 0.00027028628, 0.0001103758, 0.0002457312, 0.00040946435, 0.00040762417, 0.00047021397, 0.00019974643, 7.777255e-05, 7.811906e-06, 0.00013498426, 0.000652646, 7.5395124e-05, 0.00014338172, 8.174901e-06, 0.0004285753, 0.00058967166, 0.00015941188, 0.00016737782, 7.685503e-05]"
42,no_relation,"[0.9997801, 2.120592e-05, 1.0882704e-05, 1.5979294e-05, 3.1563375e-06, 3.1173763e-06, 2.9332794e-05, 7.911721e-06, 7.61747e-06, 2.2308597e-05, 4.0238106e-06, 1.5693751e-05, 1.3684139e-06, 4.6885675e-06, 2.6372138e-06, 6.895078e-07, 3.253184e-06, 3.1185953e-06, 5.9522387e-07, 3.039271e-07, 1.8670779e-06, 4.618542e-06, 3.2756707e-06, 6.2952795e-06, 2.4808069e-06, 2.5448999e-05, 7.226723e-07, 5.2393166e-06, 7.3284727e-06, 4.691493e-06]"
43,org:member_of,"[0.0008956021, 0.9975859, 7.710187e-05, 6.994249e-05, 8.831084e-07, 0.0011544789, 4.522772e-06, 2.0411655e-05, 2.8262395e-05, 7.064464e-05, 8.20988e-06, 4.749082e-06, 1.5907675e-06, 5.509851e-06, 4.665143e-06, 6.0902703e-06, 3.6210968e-06, 7.2726357e-06, 2.981401e-06, 1.1628507e-06, 4.3330174e-06, 7.488796e-06, 6.4994856e-07, 1.9485399e-06, 3.3711765e-06, 4.5432676e-06, 1.6588781e-05, 3.8950234e-06, 1.3220439e-06, 2.1777162e-06]"
44,no_relation,"[0.99391466, 1.8100425e-05, 1.508714e-05, 3.3320775e-05, 0.0051909755, 1.0683887e-05, 1.2624979e-05, 3.0159248e-05, 2.1540898e-05, 2.4570068e-05, 1.9687908e-05, 9.300929e-06, 1.8131454e-05, 1.2056471e-05, 4.209195e-06, 2.9566002e-06, 6.5935483e-06, 0.00011072375, 1.0554653e-05, 6.4730384e-06, 9.110722e-06, 1.1245156e-05, 8.240286e-06, 0.00045740567, 5.0682747e-06, 5.5249157e-06, 3.39222e-06, 4.163959e-06, 1.5300999e-05, 7.96135e-06]"
45,per:title,"[5.6477797e-06, 2.3479993e-06, 3.2769929e-06, 1.1498456e-06, 1.4318239e-06, 8.2932274e-07, 1.8014208e-06, 1.4024824e-06, 0.9999099, 6.571852e-06, 4.801061e-07, 2.9553119e-06, 1.9199568e-05, 1.9469988e-05, 8.84991e-07, 3.7069736e-07, 1.10776e-06, 8.112859e-07, 9.939732e-07, 5.2228916e-07, 8.075221e-07, 4.170691e-06, 1.7148163e-06, 1.5413644e-06, 1.2164334e-06, 9.390408e-07, 2.105564e-06, 9.961996e-07, 5.0428666e-06, 4.2741368e-07]"
46,org:top_members/employees,"[1.2283889e-05, 2.845192e-06, 0.999946, 1.496063e-06, 5.452843e-07, 3.1055868e-06, 2.3456737e-06, 5.9664467e-07, 2.5651523e-06, 5.5424616e-06, 8.755422e-08, 2.727501e-06, 2.1250994e-06, 3.2218753e-07, 8.115323e-06, 1.1466458e-06, 8.743326e-07, 4.0805452e-07, 5.1819546e-07, 7.592651e-08, 8.814322e-07, 8.8650125e-07, 1.3680528e-07, 3.852191e-07, 8.08816e-07, 4.24117e-07, 1.1894541e-06, 4.3235656e-07, 6.0560427e-07, 4.1036165e-07]"
47,per:title,"[0.13859418, 0.00014604743, 3.110894e-05, 2.8983062e-05, 7.968378e-05, 1.8906318e-05, 0.0035709492, 0.000114203154, 0.855259, 0.00042900827, 8.2849096e-05, 0.00014563158, 0.00012240204, 0.00048393497, 2.4540437e-05, 1.45522245e-05, 6.0013423e-05, 2.8268667e-05, 1.5583506e-05, 7.666765e-06, 1.6265298e-05, 0.00017225047, 8.394521e-05, 4.9131944e-05, 2.808031e-05, 5.7606732e-05, 6.669452e-05, 9.480586e-05, 0.0001597616, 1.3942239e-05]"
48,org:member_of,"[0.06925751, 0.5878221, 0.06365754, 0.0037921802, 8.6856155e-05, 0.000752556, 0.000102919716, 0.00014916078, 0.25938645, 0.0057642376, 0.00023950406, 0.0007203658, 0.0003693152, 0.0015428067, 0.00081302406, 0.00044568788, 0.00021006555, 0.0003793978, 0.00025731183, 1.80205e-05, 0.0003901185, 0.0011406154, 9.782278e-05, 0.0003359565, 4.1177525e-05, 0.00026239446, 0.0013825186, 0.00020445409, 0.00020706328, 0.00017095791]"
